comicID,title,issueNumber
61073,Spider-Gwen (2015) #27,27
61456,Champions (2016) #15,15
65279,Doctor Strange (2015) #383,383
61033,Ms. Marvel (2015) #25,25
65312,Uncanny Avengers (2015) #30,30
60752,Old Man Logan (2016) #32,32
65325,Invincible Iron Man: Ironheart Vol. 2 - Choices (Hardcover),0
65709,Runaways Vol. 8: Dead End Kids (Trade Paperback),0
65318,X-Men: Gold (2017) #18,18
65262,America (2017) #10,10
62150,All-New Guardians of the Galaxy Vol. 2: Riders in the Sky (Trade Paperback),0
56396,Monsters Unleashed (2017) #9,9
65286,Incredible Hulk (2017) #711,711
65310,Tales of Suspense (2017) #100,100
65275,Defenders (2017) #8,8
65283,Guardians of the Galaxy (2017) #149,149
61530,Hawkeye: Kate Bishop Vol. 2 - Masks (Trade Paperback),0
65329,Deadpool Classic Vol. 20: Ultimate Deadpool (Trade Paperback),0
62237,The Totally Awesome Hulk Vol. 4: My Best Friends Are Monsters (Trade Paperback),0
60890,X-Men: Grand Design (2017) #1,1
65274,Deadpool Vs. Old Man Logan (2017) #3,3
65292,Marvel 2-in-One (2017) #1,1
65291,Luke Cage (2017) #168,168
65817,True Believers: Phoenix Presents Jean Grey Vs. Sabretooth (2017) #1,1
65838,Wolverine by Daniel Way: The Complete Collection Vol. 3 (Trade Paperback),0
65362,Marvel Universe Avengers: Ultron Revolution (2017) #7,7
65298,Runaways (2017) #4,4
65276,Despicable Deadpool (2017) #290,290
65265,Ben Reilly: Scarlet Spider (2017) #11,11
65814,True Believers: Phoenix Classic (2017) #1,1
65853,X-Men: Phoenix - Endsong (Trade Paperback),0
65330,Defenders Vol. 1: Diamonds Are Forever (Trade Paperback),0
65299,Secret Warriors  (2017) #10,10
62193,Ms. Marvel Vol. 8: Mecca (Trade Paperback),0
65319,Black Panther - Long Live the King (2017) #1,1
60485,Thor by Jason Aaron & Russell Dauterman Vol. 2 (Hardcover),0
65258,All-New Wolverine (2015) #28,28
61093,The Unbeatable Squirrel Girl (2015) #27,27
59512,"Marvel Cinematic Universe Guidebook: The Good, the Bad, the Guardians (Hardcover)",0
65816,True Believers: Phoenix Returns (2017) #1,1
65314,Weapon X (2017) #12,12
65290,Jean Grey (2017) #10,10
65297,Royals (2017) #12,12
65497,Dark Avengers by Brian Michael Bendis: The Complete Collection (Trade Paperback),0
65334,Peter Parker: The Spectacular Spider-Man Vol. 1 - Into the Twilight (Trade Paperback),0
65280,Falcon (2017) #3,3
60676,Guardians of the Galaxy Vol. 4 (Hardcover),0
62234,Amazing Spider-Man: The Clone Conspiracy (Trade Paperback),0
65315,X-Men: Blue (2017) #17,17
65311,The Punisher (2016) #219,219
62128,Champions Vol. 2: The Freelancer Lifestyle (Trade Paperback),0
65305,Star Wars (2015) #40,40
65259,The Amazing Spider-Man (2015) #792,792
65269,Cable (2017) #152,152
60444,Marvel Masterworks: The Fantastic Four Vol. 19 (Hardcover),0
62208,Rocket: The Blue River Score (Trade Paperback),0
65810,True Believers: Phoenix - Bizarre Adventures (2017) #1,1
65272,Daredevil (2015) #596,596
65301,She-Hulk (2017) #160,160
56395,Monsters Unleashed (2017) #8,8
65361,Marvel Universe Avengers: Ultron Revolution (2017) #6,6
62213,Runaways Vol. 6: Parental Guidance (Trade Paperback),0
65335,Punisher Epic Collection: Capital Punishment (Trade Paperback),0
65282,Guardians of the Galaxy (2017) #148,148
65273,Darth Vader (2017) #9,9
65466,"Captain America by Mark Waid, Ron Garney & Andy Kubert (Hardcover)",0
65270,Captain America (2017) #696,696
65289,Iron Fist (2017) #75,75
60690,The Unbelievable Gwenpool (2016) #23,23
65261,Amazing Spider-Man: Venom Inc. Alpha (2017) #1,1
65809,True Believers: Enter - The Phoenix! (2017) #1,1
47526,Kick-Ass 3 (2013) #1,1
47020,Age of Ultron (2013) #9 (Molina Variant),9
47542,Kick-Ass 3 (2013) #1 (Ferry Variant),1
46766,X-Factor (2005) #257,257
45951,Cable and X-Force (2012) #9,9
46750,Wolverine: Sabretooth Reborn (Hardcover),0
46741,Wolverine Comic Reader (2013) #1,1
45907,Age of Ultron (2013) #9,9
46710,Winter Soldier (2012) #19,19
47543,Kick-Ass 3 (2013) #1 (Silvestri Variant),1
33196,Dark Tower: The Gunslinger - Evil Ground (2013) #2,2
46936,Daredevil: End of Days (2012) #8 (Sienkiewicz Variant),8
46754,Wolverine: The Adamantium Collection (Hardcover),0
47554,Fearless Defenders (2013) #5 (Wolverine Costume Variant),5
43477,All-New X-Men (2012) #12,12
47540,Kick-Ass 3 (2013) #1 (Jrjr Variant),1
47435,Pacific Rim: Tales from Year Zero (Hardcover),0
46483,Superior Spider-Man (2013) #11,11
40273,SPIDER-MAN: DANGER ZONE TPB (Trade Paperback),0
47549,All-New X-Men (2012) #12 (Yu Wolverine Costume Variant),12
46711,Winter Soldier (2012) #19 (Latour Variant),19
46530,Thunderbolts (2012) #10,10
46753,Wolverine: The Adamantium Collection (Hardcover),0
47544,Kick-Ass 3 (2013) #1 (Hamner Variant),1
46749,Wolverine: Origin (Hardcover),0
42667,Marvel's Thor: The Dark World Prelude 2 (2012) #1,1
47754,Ultimate Comics Ultimates  (2011) #25 (Land Variant),25
46074,Fearless Defenders (2013) #5,5
47560,Iron Man (2012) #11 (Deodato Wolverine Costume Variant),11
47545,Kick-Ass 3 (2013) #1 (Kubert Variant),1
46568,Ultimate Comics Ultimates  (2011) #25,25
46024,Daredevil: End of Days (2012) #8 (Mack Variant),8
46751,Wolverine: Season One (Hardcover),0
54097,Star Wars: Dark Times - Fire Carrier (2013) #5,5
43543,Avengers (2012) #13,13
46326,Morbius: The Living Vampire (2013) #5,5
48170,Hawkeye (2012) #9 (2nd Printing Variant),9
46776,X-Men (2013) #1,1
46411,Savage Wolverine (2013) #5 (Johnson Variant),5
46060,Deadpool Vol. 1: Dead Presidents (Trade Paperback),0
46944,Gambit (2012) #13,13
46778,X-Men (2013) #1 (Young Variant),1
47353,Captain Universe: The Hero Who Could Be You (2013) #1,1
46384,Punisher: Enter the War Zone (Trade Paperback),0
47397,X-Men (2013) #1 (Madureira X-&#8203;Men 50th Anniversary Variant),1
47241,X-Men (2013) #1 (Deadpool Variant),1
46499,Thor: God of Thunder Vol. 1 - The God Butcher (Hardcover),0
47657,Uncanny X-Force (2013) #5 (Manara Variant),5
47413,X-Men (2013) #1 (Dodson Variant),1
40810,ULTIMATE COMICS X-MEN BY BRIAN WOOD VOL. 1 TPB (Trade Paperback),0
